from,to,friendship
1,28,Friend
1,33,Best friend
2,24,Friend
2,37,Friend
2,98,Friend
2,116,Friend
3,16,Friend
3,28,Friend
3,58,Friend
3,67,Friend
4,8,Friend
4,12,Friend
4,15,Friend
4,25,Friend
4,39,Friend
4,89,Friend
5,6,Friend
5,10,Friend
5,35,Best friend
5,44,Friend
5,51,Friend
6,16,Friend
6,123,Friend
7,4,Friend
7,11,Friend
7,15,Friend
7,17,Friend
7,23,Friend
7,26,Best friend
8,4,Friend
8,7,Friend
8,12,Friend
8,15,Friend
8,26,Best friend
8,39,Friend
9,13,Friend
9,19,Best friend
9,104,Friend
9,115,Friend
10,5,Friend
10,58,Friend
10,67,Friend
10,71,Friend
10,146,Friend
11,4,Friend
11,7,Friend
11,8,Friend
11,26,Friend
11,39,Friend
12,4,Friend
12,15,Friend
12,17,Friend
12,25,Friend
12,39,Friend
12,89,Friend
13,9,Friend
13,19,Friend
13,104,Friend
13,115,Friend
14,2,Friend
14,22,Friend
14,24,Friend
14,117,Friend
14,148,Friend
15,4,Friend
15,8,Friend
15,12,Friend
15,25,Friend
15,39,Friend
15,89,Friend
16,3,Friend
16,6,Friend
16,126,Friend
16,131,Friend
17,4,Friend
17,7,Friend
17,8,Friend
17,15,Friend
17,25,Friend
17,26,Friend
18,22,Best friend
18,95,Friend
18,138,Best friend
19,9,Best friend
19,13,Friend
19,115,Friend
20,18,Friend
20,23,Friend
20,95,Friend
20,138,Friend
21,8,Friend
21,18,Friend
21,23,Friend
21,95,Friend
21,138,Friend
22,18,Best friend
22,32,Friend
22,151,Friend
23,26,Friend
24,2,Friend
24,14,Friend
24,22,Friend
25,4,Friend
25,7,Friend
25,12,Best friend
25,15,Friend
25,17,Friend
25,19,Friend
26,7,Best friend
26,8,Best friend
26,15,Friend
26,17,Friend
26,23,Friend
27,28,Friend
27,34,Friend
27,65,Friend
27,93,Friend
28,3,Friend
28,31,Friend
28,34,Friend
28,41,Friend
28,65,Friend
29,16,Best friend
29,120,Friend
29,126,Best friend
29,131,Best friend
30,31,Friend
30,133,Friend
31,27,Friend
31,28,Friend
31,30,Best friend
31,41,Friend
31,122,Friend
32,35,Friend
32,106,Friend
32,130,Friend
32,141,Friend
32,144,Friend
33,1,Best friend
33,27,Friend
33,28,Friend
33,145,Friend
34,27,Friend
34,28,Friend
34,31,Friend
34,41,Friend
34,65,Friend
35,36,Friend
35,44,Friend
35,51,Friend
35,149,Best friend
35,150,Friend
35,151,Friend
36,150,Friend
36,151,Friend
37,2,Best friend
37,38,Best friend
37,148,Best friend
38,37,Friend
38,148,Friend
39,4,Friend
39,8,Best friend
39,12,Best friend
39,15,Best friend
39,37,Friend
39,89,Best friend
40,41,Friend
40,143,Best friend
40,147,Friend
41,28,Best friend
41,34,Friend
41,40,Friend
41,65,Friend
42,48,Friend
42,61,Friend
43,46,Friend
43,52,Friend
43,56,Friend
43,59,Friend
43,65,Friend
43,66,Friend
44,5,Friend
44,51,Best friend
44,58,Friend
44,67,Friend
44,78,Friend
44,101,Friend
45,31,Friend
45,64,Friend
46,45,Friend
46,52,Friend
46,63,Friend
46,65,Friend
46,99,Friend
46,133,Best friend
47,42,Friend
47,49,Friend
47,50,Best friend
47,57,Friend
47,61,Friend
47,68,Friend
49,44,Friend
49,50,Friend
49,51,Friend
49,58,Friend
49,62,Friend
49,67,Friend
50,44,Friend
50,49,Best friend
50,51,Friend
50,57,Best friend
50,58,Friend
50,60,Best friend
51,5,Friend
51,35,Friend
51,44,Friend
51,101,Friend
51,149,Friend
52,28,Friend
52,65,Friend
52,66,Best friend
52,72,Friend
52,87,Friend
53,68,Friend
53,91,Friend
54,55,Friend
54,61,Friend
55,43,Friend
55,56,Friend
55,59,Friend
55,61,Friend
55,70,Best friend
55,125,Friend
56,59,Friend
56,61,Friend
56,105,Best friend
57,46,Friend
57,49,Friend
57,50,Friend
57,60,Friend
57,133,Best friend
58,44,Friend
58,51,Friend
58,67,Friend
58,71,Friend
58,146,Friend
59,43,Friend
59,56,Friend
59,88,Friend
59,97,Friend
59,105,Friend
59,135,Best friend
60,46,Friend
60,49,Friend
60,50,Friend
60,57,Best friend
60,58,Friend
60,133,Friend
61,47,Friend
61,48,Friend
61,56,Friend
61,59,Friend
61,79,Best friend
62,120,Friend
62,126,Friend
62,131,Friend
63,31,Friend
63,45,Friend
63,46,Friend
63,64,Friend
63,128,Best friend
63,152,Friend
64,45,Best friend
64,63,Friend
64,65,Friend
64,66,Friend
64,128,Friend
65,28,Friend
65,52,Friend
65,87,Friend
