name,age,selection129,selection50,sex_fct,smoking_at_home,parent_smoking,sibling_smoking,alcohol_int,tobacco_int,cannabis_int,alcohol_fct,tobacco_fct,cannabis_fct,money,romantic,leisure_music_at_home,leisure_shopping,leisure_reading,leisure_watch_sports,leisure_play_sports,leisure_hang_streets,leisure_videogames,leisure_hobby,leisure_organized,leisure_movies,leisure_concerts,leisure_church,leisure_pet,leisure_dancing,leisure_be_bored,music_rock,music_chart,music_reggae,music_dance,music_heavy,music_techno,music_folk,music_rave,music_indie,music_jazz,music_classical,music_sixty,music_house,music_grunge,music_rap,music_hiphop,in_degree,out_degree,tobacco_dimaria,alcohol_dimaria,cannabis_dimaria
s001,13.3,TRUE,TRUE,Female,no,no,no,3,2,1,Once a month,Occasional,Never,6.2,no,Most days,Once a week,Most days,Never,Once a week,Most days,Once a week,Once a week,Once a week,Once a week,Never,Once a week,Never,Once a month,Never,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no,2,2,1,1,0
s002,13.3,TRUE,FALSE,Male,no,no,no,NA,1,1,Never,Never,Never,4,no,Never,Once a month,Never,Once a month,Most days,Never,Once a week,Once a week,Never,Once a month,Never,Never,Never,Never,Once a month,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,7,4,0,NA,0
s003,13.7,TRUE,TRUE,Female,yes,yes,no,2,3,2,Once or twice a year,Regular,Tried once,8,yes,Most days,Once a week,Once a week,Never,Never,Most days,Most days,Never,Never,Once a month,Never,Never,Never,Never,Most days,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,2,4,1,0,0
s004,12.9,TRUE,FALSE,Male,no,no,no,2,1,1,Once or twice a year,Never,Never,5,no,Most days,Once a week,Most days,Never,Once a week,Most days,Once a week,Never,Never,Once a month,Never,Never,Never,Never,Never,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,9,6,0,0,0
s005,13.6,TRUE,FALSE,Male,no,no,no,2,1,1,Once or twice a year,Never,Never,3.5,yes,Most days,Most days,Most days,Most days,Most days,Most days,Most days,Never,Once a week,Once a month,Once a month,Never,Most days,Never,Never,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,3,5,0,0,0
s006,13.8,TRUE,FALSE,Male,yes,no,yes,3,3,3,Once a month,Regular,Occasional,5,no,Most days,Once a month,Most days,Never,Never,Once a week,Once a week,Most days,Never,Once a week,Once a month,Never,Never,Never,Never,yes,yes,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,yes,no,2,2,1,1,1
s007,13.5,TRUE,TRUE,Female,yes,yes,no,2,1,1,Once or twice a year,Never,Never,5,no,Most days,Once a week,Most days,Never,Never,Never,Never,Once a week,Once a week,Once a month,Never,Never,Most days,Never,Once a week,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,5,6,0,0,0
s008,13.4,TRUE,FALSE,Male,no,no,no,2,1,1,Once or twice a year,Never,Never,8.5,yes,Most days,Most days,Most days,Most days,Never,Never,Most days,Once a week,Never,Once a month,Never,Never,Never,Never,Never,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,7,6,0,0,0
s009,13.1,FALSE,FALSE,Female,yes,yes,no,4,1,1,Once a week,Never,Never,2.5,no,Most days,Once a week,Most days,Once a month,Once a week,Most days,Most days,Once a week,Once a week,Once a month,Never,Once a month,Most days,Never,Never,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,3,4,0,1,0
s010,12.9,TRUE,FALSE,Male,no,no,no,NA,1,2,Never,Never,Tried once,5,no,Most days,Most days,Never,Most days,Most days,Most days,Never,Most days,Never,Once a week,Never,Never,Most days,Never,Never,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,4,5,0,NA,0
